"Package","Version"
"abind","1.4-5"
"ade4","1.7-22"
"adegenet","2.1.10"
"afex","1.3-0"
"AlphaSimR","1.3.4"
"annotate","1.76.0"
"AnnotationDbi","1.60.0"
"AnnotationHub","3.6.0"
"apcluster","1.4.13"
"ape","5.8"
"aPEAR","1.0"
"apeglm","1.23.1"
"aplot","0.2.2"
"arrow","10.0.1"
"arules","1.7-10"
"ashr","2.2-63"
"AsioHeaders","1.22.1-2"
"askpass","1.1"
"assertthat","0.2.1"
"assorthead","1.3.2"
"AUCell","1.20.1"
"babelgene","22.9"
"backports","1.4.1"
"base","4.2.0"
"base64enc","0.1-3"
"batchelor","1.14.1"
"bayesbio","1.0.0"
"BayesFactor","0.9.12-4.7"
"bayesplot","1.11.1"
"BayesPrism","2.2.2"
"bayestestR","0.13.1"
"BBmisc","1.13"
"bbmle","1.0.25"
"bdsmatrix","1.3-6"
"beachmat","2.14.2"
"beanplot","1.3.1"
"beeswarm","0.4.0"
"BGLR","1.1.0"
"BH","1.81.0-1"
"bibtex","0.5.1"
"biganalytics","1.1.22"
"bigassertr","0.1.6"
"biglm","0.9-2.1"
"bigmemory","4.6.1"
"bigmemory.sri","0.1.6"
"bigparallelr","0.3.2"
"bigreadr","0.2.5"
"bigstatsr","1.5.12"
"Biobase","2.58.0"
"BiocFileCache","2.6.1"
"BiocGenerics","0.44.0"
"BiocIO","1.8.0"
"BiocManager","1.30.21"
"BiocNeighbors","1.16.0"
"BiocParallel","1.32.6"
"BiocSingular","1.14.0"
"BiocVersion","3.16.0"
"biocViews","1.66.3"
"biomaRt","2.54.1"
"Biostrings","2.66.0"
"BisqueRNA","1.0.5"
"bit","4.0.5"
"bit64","4.0.5"
"bitops","1.0-7"
"blob","1.2.4"
"blupADC","1.0.7"
"bluster","1.8.0"
"boot","1.3-28.1"
"brew","1.0-7"
"bridgesampling","1.1-2"
"brio","1.1.3"
"brms","2.22.0"
"brnn","0.9.2"
"Brobdingnag","1.2-9"
"broom","1.0.4"
"broom.helpers","1.15.0"
"bslib","0.4.2"
"BWGS","0.2.1"
"BWStest","0.2.3"
"ca","0.71.1"
"cachem","1.0.6"
"Cairo","1.5-15"
"calibrate","1.7.7"
"callr","3.7.3"
"car","3.1-1"
"carData","3.0-5"
"caret","7.0-1"
"caTools","1.18.2"
"ccaPP","0.3.3"
"CellChat","1.6.1"
"celldex","1.11.1"
"cellranger","1.1.0"
"checkmate","2.2.0"
"circlize","0.4.15"
"class","7.3-22"
"classInt","0.4-9"
"cli","3.6.3"
"clipr","0.8.0"
"clock","0.6.1"
"clue","0.3-64"
"cluster","2.1.4"
"clusterGeneration","1.3.8"
"clusterProfiler","4.6.2"
"clustree","0.5.0"
"CMplot","4.5.1"
"coda","0.19-4"
"codetools","0.2-19"
"collections","0.3.7"
"colorblindcheck","1.0.2"
"colorRamp2","0.1.0"
"colorspace","2.1-1"
"cols4all","0.7-1"
"combinat","0.0-8"
"commonmark","1.9.1"
